@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
379999 , 3 , 1828 , 4.92999983
699000 , 5 , 3199 , 4.92999983
195000 , 3 , 1226 , 4.92999983
349000 , 3 , 1780 , 4.92999983
542000 , 3 , 1784 , 4.92999983
269000 , 4 , 1371 , 4.92999983
280000 , 3 , 1158 , 4.92999983
529000 , 4 , 2455 , 4.92999983
55000 , 3 , 1152 , 4.92999983
309000 , 3 , 1260 , 4.92999983
199900 , 2 , 935 , 4.92999983
510000 , 3 , 1916 , 4.92999983
424900 , 3 , 1920 , 4.92999983
399900 , 3 , 1395 , 4.92999983
379900 , 4 , 1316 , 4.92999983
459900 , 4 , 2302 , 4.92999983
389900 , 3 , 1400 , 4.92999983
1200000 , 5 , 3570 , 4.92999983
468000 , 4 , 2170 , 4.92999983
419000 , 4 , 1689 , 4.92999983
599900 , 4 , 2195 , 4.92999983
289900 , 3 , 1440 , 4.92999983
399000 , 3 , 1612 , 4.92999983
1000000 , 4 , 3160 , 4.92999983
725000 , 3 , 2731 , 4.92999983
473000 , 3 , 2151 , 4.92999983
400500 , 3 , 1852 , 4.92999983
430000 , 3 , 1552 , 4.92999983
394920 , 3 , 1868 , 4.92999983
374000 , 4 , 1529 , 4.92999983
435000 , 3 , 1918 , 4.92999983
295000 , 3 , 1274 , 4.92999983
425000 , 3 , 1824 , 4.92999983
267191 , 3 , 1232 , 4.92999983
530000 , 4 , 2425 , 4.92999983
529000 , 5 , 2902 , 4.92999983
409000 , 4 , 1868 , 4.92999983
70000 , 2 , 1344 , 4.92999983
550000 , 5 , 2648 , 4.92999983
269900 , 3 , 1688 , 4.92999983
264900 , 3 , 988 , 4.92999983
155000 , 2 , 969 , 4.92999983
218900 , 3 , 1171 , 4.92999983
259900 , 3 , 1167 , 4.92999983
479000 , 3 , 2092 , 4.92999983
425000 , 3 , 1944 , 4.92999983
274744 , 3 , 1110 , 4.92999983
299500 , 3 , 1110 , 4.92999983
339000 , 3 , 1875 , 4.92999983
475000 , 3 , 1714 , 4.92999983
299900 , 3 , 1398 , 4.92999983
800000 , 3 , 1631 , 4.92999983
198000 , 3 , 1191 , 4.92999983
299900 , 3 , 1342 , 4.92999983
373000 , 3 , 2038 , 4.92999983
322000 , 3 , 1296 , 4.92999983
275000 , 3 , 1008 , 4.92999983
221000 , 3 , 1180 , 4.92999983
344900 , 3 , 1896 , 4.92999983
222000 , 3 , 1145 , 4.92999983
295000 , 3 , 1654 , 4.92999983
575500 , 2 , 578 , 4.92999983
519900 , 5 , 2200 , 4.92999983
385000 , 3 , 1798 , 4.92999983
243000 , 4 , 1477 , 4.92999983
